client_profit_center_id,fiscal_year,month,volume
116,2024,4,666
116,2024,5,644
116,2024,6,617
116,2024,7,939
116,2024,8,328
116,2024,9,492
116,2024,10,473
116,2024,11,462
116,2024,12,206
116,2025,1,75
116,2025,2,153
116,2025,3,506
116,2025,4,405
116,2025,5,567
117,2022,4,31
117,2022,5,28
117,2022,6,20
117,2022,7,6
117,2023,4,54
117,2023,6,8
117,2023,10,78
117,2024,2,48
117,2024,4,17
117,2024,5,23
117,2024,7,19
117,2024,9,40
117,2024,11,29
117,2024,12,0
117,2025,2,12
118,2022,4,535
118,2022,5,475
118,2022,6,284
118,2022,7,412
118,2022,8,159
118,2022,9,173
118,2022,10,307
118,2022,11,128
118,2022,12,7
118,2023,1,214
118,2023,2,106
118,2023,3,360
118,2023,4,180
118,2023,5,148
118,2023,6,155
118,2023,7,294
118,2023,8,215
118,2023,9,235
118,2023,10,610
118,2023,11,257
118,2023,12,42
118,2024,1,76
118,2024,2,123
118,2024,3,271
118,2024,4,327
118,2024,5,125
118,2024,6,266
118,2024,7,215
118,2024,8,253
118,2024,9,329
118,2024,10,561
118,2024,11,220
118,2024,12,19
118,2025,1,20
118,2025,2,146
118,2025,3,252
118,2025,4,86
118,2025,5,385
119,2023,5,27
120,2023,2,85
120,2024,2,100
120,2025,2,26
121,2023,5,20
121,2024,1,47
121,2024,2,27
121,2024,5,16
121,2024,10,15
121,2025,1,43
990,2022,9,2
122,2023,4,7
122,2025,4,2
123,2022,6,102
123,2022,9,111
123,2022,10,64
123,2022,11,193
123,2022,12,81
123,2023,2,308
123,2023,3,184
123,2023,4,70
123,2023,5,94
123,2023,7,94
123,2024,7,93
123,2024,8,88
123,2024,9,48
123,2024,10,60
123,2024,11,90
123,2024,12,53
123,2025,1,277
123,2025,2,46
123,2025,3,84
123,2025,4,15
123,2025,5,88
124,2022,8,20
124,2024,10,0
124,2024,12,24
991,2022,4,2
992,2025,5,98
125,2023,6,5
125,2023,8,19
125,2025,3,92
126,2023,11,22
127,2024,6,50
128,2023,6,10
129,2022,4,51
129,2022,5,54
129,2022,6,52
129,2022,10,4
129,2022,11,56
129,2023,2,56
129,2023,4,20
130,2022,5,46
130,2022,6,32
130,2022,7,42
130,2022,8,88
130,2022,9,25
130,2022,10,24
130,2022,11,42
130,2022,12,11
130,2023,1,31
130,2023,2,28
130,2023,3,87
130,2023,4,11
130,2023,5,17
130,2023,6,8
130,2023,7,35
130,2023,8,12
130,2023,9,12
130,2023,10,13
130,2023,11,13
130,2023,12,3
130,2024,1,13
130,2024,2,24
130,2024,3,4
130,2024,4,0
130,2024,5,11
130,2024,6,27
130,2024,7,15
130,2024,9,42
130,2024,10,6
130,2024,11,9
130,2024,12,7
130,2025,1,32
130,2025,2,0
130,2025,3,7
130,2025,4,3
130,2025,5,19
131,2022,4,28
131,2022,5,24
131,2022,6,37
131,2022,7,28
131,2022,8,14
131,2022,9,21
131,2022,11,4
131,2022,12,3
131,2023,1,4
131,2023,2,17
131,2023,3,9
131,2023,4,10
131,2023,5,6
131,2023,6,6
131,2023,7,6
131,2023,8,20
131,2023,9,7
131,2023,10,19
131,2023,11,6
131,2024,1,3
131,2024,4,3
131,2024,5,11
131,2024,6,3
131,2024,7,7
131,2024,8,15
131,2024,10,3
131,2024,11,11
131,2025,1,6
131,2025,3,21
131,2025,4,20
131,2025,5,11
993,2025,5,5
132,2024,10,3
133,2022,4,20
133,2022,5,31
133,2022,6,21
133,2022,7,13
133,2022,8,6
133,2022,9,24
133,2022,10,42
133,2022,11,15
133,2022,12,4
133,2023,3,1
133,2023,4,3
133,2023,5,6
133,2023,6,19
133,2023,7,63
133,2023,9,31
133,2023,11,42
133,2024,3,4
133,2024,4,27
133,2024,6,19
133,2024,7,42
133,2024,8,39
133,2024,9,26
133,2024,10,25
133,2024,11,4
133,2025,3,64
133,2025,4,17
994,2025,5,165
952,2025,4,19
134,2022,4,6
134,2022,5,2
134,2022,6,10
134,2022,7,3
134,2022,9,16
134,2022,10,19
134,2022,11,0
134,2023,1,4
134,2023,2,7
134,2023,3,0
134,2023,4,10
134,2023,5,13
134,2023,6,18
134,2023,7,8
134,2023,9,1
134,2023,10,65
134,2023,11,75
134,2023,12,2
134,2024,1,5
134,2024,2,2
134,2024,3,37
134,2024,4,42
134,2024,6,1
134,2024,7,0
134,2024,8,6
134,2024,9,5
134,2025,2,5
134,2025,3,2
135,2022,11,28
135,2023,9,1
135,2023,11,10
135,2024,9,0
135,2024,10,15
135,2025,4,9
136,2022,4,109
136,2022,5,82
136,2022,6,30
136,2022,7,69
136,2022,8,76
136,2022,9,56
136,2022,10,9
136,2022,11,36
136,2022,12,44
136,2023,2,6
136,2023,3,54
136,2023,4,51
136,2023,5,148
136,2023,6,91
136,2023,7,53
