ID,ClientProfitCenterID,BudgetMonth,BudgetYear,Amount
788,105,5,2024,35
789,105,6,2024,35
790,105,7,2024,24
791,105,8,2024,20
792,105,9,2024,35
793,105,10,2024,35
794,105,11,2024,31
795,105,12,2024,10
796,105,1,2025,12
797,105,2,2025,24
798,105,3,2025,28
799,105,4,2025,24
800,105,5,2025,26
801,105,6,2025,28
802,105,7,2025,28
803,105,8,2025,23
804,105,9,2025,30
805,105,10,2025,29
806,105,11,2025,28
807,105,12,2025,13
808,105,1,2026,22
809,105,2,2026,24
810,105,3,2026,31
811,179,1,2024,12
812,179,2,2024,24
813,179,3,2024,28
814,179,4,2024,32
815,179,5,2024,35
816,179,6,2024,35
817,179,7,2024,24
818,179,8,2024,19
819,179,9,2024,35
820,179,10,2024,35
821,179,11,2024,30
822,179,12,2024,10
823,179,1,2025,12
824,179,2,2025,24
825,179,3,2025,28
826,179,4,2025,18
827,179,5,2025,20
828,179,6,2025,21
829,179,7,2025,21
830,179,8,2025,17
831,179,9,2025,23
832,179,10,2025,22
833,179,11,2025,21
834,179,12,2025,10
835,179,1,2026,16
836,179,2,2026,18
837,179,3,2026,24
838,110,1,2024,12
839,110,2,2024,24
840,110,3,2024,28
841,110,4,2024,32
842,110,5,2024,34
843,110,6,2024,34
844,110,7,2024,24
845,110,8,2024,19
846,110,9,2024,34
847,110,10,2024,34
848,110,11,2024,30
849,110,12,2024,10
850,110,1,2025,12
851,110,2,2025,24
852,110,3,2025,28
853,110,4,2025,18
854,110,5,2025,20
855,110,6,2025,21
856,110,7,2025,21
857,110,8,2025,18
858,110,9,2025,23
859,110,10,2025,22
860,110,11,2025,21
861,110,12,2025,10
862,110,1,2026,17
863,110,2,2026,19
864,110,3,2026,24
865,9,1,2024,11
866,9,2,2024,23
867,9,3,2024,27
868,9,4,2024,31
869,9,5,2024,33
870,9,6,2024,33
871,9,7,2024,23
872,9,8,2024,19
873,9,9,2024,33
874,9,10,2024,33
875,9,11,2024,29
876,9,12,2024,9
877,9,1,2025,11
878,9,2,2025,23
879,9,3,2025,27
880,9,4,2025,35
881,9,5,2025,39
882,9,6,2025,41
883,9,7,2025,41
884,9,8,2025,34
885,9,9,2025,45
886,9,10,2025,43
887,9,11,2025,42
888,9,12,2025,19
889,9,1,2026,32
890,9,2,2026,36
891,9,3,2026,47
892,100,1,2024,11
893,100,2,2024,22
894,100,3,2024,26
895,100,4,2024,30
896,100,5,2024,32
897,100,6,2024,32
898,100,7,2024,22
899,100,8,2024,18
900,100,9,2024,32
901,100,10,2024,32
902,100,11,2024,28
903,100,12,2024,9
904,100,1,2025,11
905,100,2,2025,22
906,100,3,2025,26
907,100,4,2025,5
908,100,5,2025,6
909,100,6,2025,6
910,100,7,2025,6
911,100,8,2025,5
912,100,9,2025,6
913,100,10,2025,6
914,100,11,2025,6
915,100,12,2025,3
916,100,1,2026,5
917,100,2,2026,5
918,100,3,2026,7
919,52,1,2024,11
920,52,2,2024,22
921,52,3,2024,26
922,52,4,2024,30
923,52,5,2024,32
924,52,6,2024,32
925,52,7,2024,22
926,52,8,2024,18
927,52,9,2024,32
928,52,10,2024,32
929,52,11,2024,28
930,52,12,2024,9
931,52,1,2025,11
932,52,2,2025,22
933,52,3,2025,26
934,52,4,2025,1
935,52,5,2025,1
936,52,6,2025,1
937,52,7,2025,1
938,52,8,2025,1
939,52,9,2025,1
940,52,10,2025,1
941,52,11,2025,1
942,52,12,2025,0
943,52,1,2026,1
944,52,2,2026,1
945,52,3,2026,1
946,5,1,2024,10
947,5,2,2024,19
948,5,3,2024,23
949,5,4,2024,27
950,5,5,2024,28
951,5,6,2024,28
952,5,7,2024,19
953,5,8,2024,16
954,5,9,2024,28
955,5,10,2024,28
956,5,11,2024,25
957,5,12,2024,8
958,5,1,2025,10
959,5,2,2025,19
960,5,3,2025,23
961,5,4,2025,27
962,5,5,2025,30
963,5,6,2025,31
964,5,7,2025,31
965,5,8,2025,26
966,5,9,2025,34
967,5,10,2025,33
968,5,11,2025,31
969,5,12,2025,14
970,5,1,2026,24
971,5,2,2026,27
972,5,3,2026,35
973,117,1,2024,9
974,117,2,2024,19
975,117,3,2024,22
976,117,4,2024,26
977,117,5,2024,27
978,117,6,2024,27
979,117,7,2024,19
980,117,8,2024,15
981,117,9,2024,27
982,117,10,2024,27
983,117,11,2024,24
984,117,12,2024,8
985,117,1,2025,9
986,117,2,2025,19
987,117,3,2025,22
988,117,4,2025,18
989,117,5,2025,20
990,117,6,2025,21
991,117,7,2025,21
992,117,8,2025,18
993,117,9,2025,23
994,117,10,2025,22
995,117,11,2025,22
996,117,12,2025,10
997,117,1,2026,17
998,117,2,2026,19
999,117,3,2026,24
1000,138,1,2024,9
1001,138,2,2024,19
1002,138,3,2024,22
1003,138,4,2024,25
1004,138,5,2024,27
1005,138,6,2024,27
1006,138,7,2024,19
1007,138,8,2024,15
1008,138,9,2024,27
1009,138,10,2024,27
1010,138,11,2024,24
1011,138,12,2024,8
